episode,time,task,fatigue,skill_level,semaphore_state,sampling_rate,robot_active,collision
108,15,hmi_supervision,38.51925051082375,2,orange,2.0,False,False
108,30,material_delivery,52.469250510823755,3,red,0.1,True,False
108,45,packaging,68.51925051082375,4,red,0.1,True,False
109,0,rest,27.357131832687788,2,green,5.0,False,False
109,15,hmi_supervision,37.40713183268779,2,orange,2.0,False,False
109,30,material_delivery,51.35713183268779,3,red,0.1,True,False
109,45,packaging,67.4071318326878,4,red,0.1,True,False
110,0,rest,27.196830626454165,2,green,5.0,False,False
110,15,hmi_supervision,37.24683062645417,2,orange,2.0,False,False
110,30,material_delivery,51.19683062645417,3,red,0.1,True,False
110,45,packaging,67.24683062645417,4,red,0.1,True,False
111,0,rest,28.36185431143239,2,green,5.0,False,False
111,15,hmi_supervision,38.41185431143239,2,orange,2.0,False,False
111,30,material_delivery,52.361854311432396,3,red,0.1,True,False
111,45,packaging,68.41185431143239,4,red,0.1,True,False
112,0,rest,27.832402911005612,2,green,5.0,False,False
112,15,hmi_supervision,37.88240291100561,2,orange,2.0,False,False
112,30,material_delivery,51.832402911005616,3,red,0.1,True,False
112,45,packaging,67.88240291100561,4,red,0.1,True,False
113,0,rest,28.535500370569068,2,green,5.0,False,False
113,15,hmi_supervision,38.585500370569065,2,orange,2.0,False,False
113,30,material_delivery,52.53550037056907,3,red,0.1,True,False
113,45,packaging,68.58550037056906,4,red,0.1,True,False
114,0,rest,28.35492821843016,2,green,5.0,False,False
114,15,hmi_supervision,38.40492821843016,2,orange,2.0,False,False
114,30,material_delivery,52.35492821843016,3,red,0.1,True,False
114,45,packaging,68.40492821843016,4,red,0.1,True,False
115,0,rest,27.945378315507345,2,green,5.0,False,False
115,15,hmi_supervision,37.995378315507345,2,orange,2.0,False,False
115,30,material_delivery,51.94537831550735,3,red,0.1,True,False
115,45,packaging,67.99537831550735,4,red,0.1,True,False
116,0,rest,27.364904711448695,2,green,5.0,False,False
116,15,hmi_supervision,37.4149047114487,2,orange,2.0,False,False
